queue_id,capture_date,broad_category_slug,sub_category,micro_niche,keyword,rank,shop_name,product_title,price,currency,sold_count,review_count,rating,product_url,shop_url,video_flag,live_flag,notes,tiktok_search_url,tiktok_tag_url,google_shop_query_url
KW-0008,2026-05-10,appliances,Cooling,Portable fans,clip fan,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=clip+fan,https://www.tiktok.com/tag/clip-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22clip+fan%22+Malaysia
KW-0008,2026-05-10,appliances,Cooling,Portable fans,clip fan,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=clip+fan,https://www.tiktok.com/tag/clip-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22clip+fan%22+Malaysia
KW-0008,2026-05-10,appliances,Cooling,Portable fans,clip fan,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=clip+fan,https://www.tiktok.com/tag/clip-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22clip+fan%22+Malaysia
KW-0009,2026-05-10,appliances,Cooling,Portable fans,desk fan,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=desk+fan,https://www.tiktok.com/tag/desk-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22desk+fan%22+Malaysia
KW-0009,2026-05-10,appliances,Cooling,Portable fans,desk fan,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=desk+fan,https://www.tiktok.com/tag/desk-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22desk+fan%22+Malaysia
KW-0009,2026-05-10,appliances,Cooling,Portable fans,desk fan,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=desk+fan,https://www.tiktok.com/tag/desk-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22desk+fan%22+Malaysia
KW-0010,2026-05-10,appliances,Cooling,Portable fans,portable fan,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=portable+fan,https://www.tiktok.com/tag/portable-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+fan%22+Malaysia
KW-0010,2026-05-10,appliances,Cooling,Portable fans,portable fan,2,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=portable+fan,https://www.tiktok.com/tag/portable-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+fan%22+Malaysia
KW-0010,2026-05-10,appliances,Cooling,Portable fans,portable fan,3,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=portable+fan,https://www.tiktok.com/tag/portable-fan,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+fan%22+Malaysia
KW-0011,2026-05-10,appliances,Garment care,Steamers and lint removers,garment steamer,1,,,,MYR,,,,,,,,,https://www.tiktok.com/search?q=garment+steamer,https://www.tiktok.com/tag/garment-steamer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22garment+steamer%22+Malaysia
